# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0114  2.64236e-01  3.28801e+01  1.92436e+01  6.03157e+00  1.19595e-15 -2.12029e+00  7.12824e+00 -7.00293e-15 -5.04914e+00
0115  2.66140e-01  3.24064e+01  1.87837e+01  6.03246e+00  8.84533e-16 -2.13625e+00  7.02659e+00 -7.33998e-15 -5.01306e+00
0116  2.68044e-01  3.19429e+01  1.83380e+01  6.03334e+00  8.10948e-16 -2.15220e+00  6.92709e+00 -6.55434e-15 -4.97748e+00
0117  2.69949e-01  3.14893e+01  1.79060e+01  6.03420e+00  1.25408e-15 -2.16815e+00  6.82970e+00 -2.48299e-17 -4.94241e+00
0118  2.71853e-01  3.10453e+01  1.74872e+01  6.03504e+00  1.38123e-15 -2.18410e+00  6.73434e+00  4.58809e-15 -4.90783e+00
0119  2.73757e-01  3.06107e+01  1.70810e+01  6.03586e+00  8.37035e-16 -2.20004e+00  6.64096e+00  3.60750e-15 -4.87373e+00
0120  2.75661e-01  3.01852e+01  1.66870e+01  6.03667e+00  1.03884e-16 -2.21598e+00  6.54952e+00  6.05221e-15 -4.84010e+00
0121  2.77566e-01  2.97685e+01  1.63048e+01  6.03746e+00 -4.95477e-16 -2.23191e+00  6.45995e+00  8.40866e-15 -4.80692e+00
0122  2.79470e-01  2.93604e+01  1.59340e+01  6.03823e+00 -8.48157e-16 -2.24784e+00  6.37220e+00  8.01722e-15 -4.77420e+00
0123  2.81374e-01  2.89606e+01  1.55740e+01  6.03899e+00 -1.29921e-15 -2.26376e+00  6.28623e+00  3.11706e-15 -4.74193e+00
0124  2.83279e-01  2.85690e+01  1.52246e+01  6.03973e+00 -1.16155e-15 -2.27968e+00  6.20199e+00 -1.17204e-16 -4.71008e+00
0125  2.85183e-01  2.81854e+01  1.48853e+01  6.04046e+00 -1.09107e-15 -2.29560e+00  6.11943e+00 -2.32745e-15 -4.67866e+00
0126  2.87087e-01  2.78094e+01  1.45557e+01  6.04117e+00 -1.22820e-15 -2.31151e+00  6.03851e+00 -5.00949e-15 -4.64766e+00
0127  2.88991e-01  2.74409e+01  1.42357e+01  6.04187e+00 -1.71395e-15 -2.32742e+00  5.95918e+00 -7.41285e-15 -4.61706e+00
0128  2.90896e-01  2.70797e+01  1.39247e+01  6.04255e+00 -2.14264e-15 -2.34332e+00  5.88141e+00 -7.46337e-15 -4.58686e+00
0129  2.92800e-01  2.67256e+01  1.36225e+01  6.04322e+00 -1.84526e-15 -2.35922e+00  5.80515e+00 -1.08513e-15 -4.55706e+00
0130  2.94704e-01  2.63784e+01  1.33288e+01  6.04388e+00 -1.25912e-15 -2.37512e+00  5.73036e+00  8.15699e-15 -4.52764e+00
0131  2.96608e-01  2.60380e+01  1.30433e+01  6.04453e+00 -9.85621e-16 -2.39101e+00  5.65701e+00  1.09320e-14 -4.49860e+00
0132  2.98513e-01  2.57041e+01  1.27658e+01  6.04516e+00 -1.03870e-15 -2.40690e+00  5.58506e+00  9.87608e-15 -4.46993e+00
